nombre;marca;Columna1;Columna2;precio;categoria;subcategoria;descripcion;notas;imagen_url;ml;stock;estado;descuento;luxury;activo
0,375;AFNAN;FALSO;;95000;para-ellos;nicho;Fragancia fresca y especiada;Limón lavanda menta;https://github.com/LordSaavedra/Imagenes_JH/blob/main/9%20AM%20AFNAN.png?raw=true;100;10;disponible;;false;true
0,875;AFNAN;FALSO;;95000;para-ellos;nicho;Fragancia nocturna y especiada;Limón lavanda menta;https://github.com/LordSaavedra/Imagenes_JH/blob/main/9%20PM%20AFNAN.png?raw=true;100;10;disponible;;false;true
Just Different;Hugo Boss;FALSO;;105000;para-ellos;designer;Perfume moderno y juvenil;Menta manzana verde albahaca;https://github.com/LordSaavedra/Imagenes_JH/blob/main/HUGO%20BOSS%20JUST%20DIFFERENT.png?raw=true;125;7;disponible;10;false;true
Arabians Tonka;Montale;FALSO;;210000;unisex;nicho;Perfume intenso y oriental;Haba tonka azafrán oud;https://github.com/LordSaavedra/Imagenes_JH/blob/main/MONTALE%20ARABIANS%20TONKA.png?raw=true;100;5;disponible;;true;true
Born In Roma Extradose;Valentino;FALSO;;185000;para-ellos;designer;Fragancia dulce y empoderante;Vainilla jazmín bergamota;https://github.com/LordSaavedra/Imagenes_JH/blob/main/Valentino%20Born%20In%20Roma%20Extradose.png?raw=true;100;6;disponible;15;true;true
Uomo;Valentino;FALSO;;160000;para-ellos;designer;Aroma elegante y sofisticado;Avellana chocolate cuero;https://github.com/LordSaavedra/Imagenes_JH/blob/main/Valentino%20UOMO.png?raw=true;100;4;disponible;;true;true
Y;Yves Saint Laurent;FALSO;;175000;para-ellos;designer;Fragancia fresca y moderna;Bergamota salvia jengibre;https://github.com/LordSaavedra/Imagenes_JH/blob/main/Y%20YVES%20SAINT%20LAUREN.png?raw=true;100;12;disponible;10;true;true
212;CAROLINA HERRERA;VERDADERO;CAROLINA HERRERA;80000;para-ellos;;;;;;;;;;
212 VIP ;CAROLINA HERRERA;VERDADERO;CAROLINA HERRERA;70000;para-ellos;;;;;;;;;;
212 SEXY ;CAROLINA HERRERA;VERDADERO;CAROLINA HERRERA;70000;para-ellos;;;;;;;;;;
212 FOREVER YOUNG ;CAROLINA HERRERA ;FALSO;CAROLINA HERRERA;70000;para-ellos;;;;;;;;;;
212 VIP BLACK ;CAROLINA HERRERA ;FALSO;CAROLINA HERRERA;70000;para-ellos;;;;;;;;;;
212 WILD PARTY ;CAROLINA HERRERA ;FALSO;CAROLINA HERRERA;60000;para-ellos;;;;;;;;;;
CH PRIVE ;CAROLINA HERRERA ;FALSO;CAROLINA HERRERA;AGOTADO;para-ellos;;;;;;;;;;
CAROLINA HERRERA ;CAROLINA HERRERA ;FALSO;CAROLINA HERRERA;60000;para-ellos;;;;;;;;;;
BAD BOY ;CAROLINA HERRERA ;FALSO;CAROLINA HERRERA;70000;para-ellos;;;;;;;;;;
1 ONE MILLION ;PACO RABANNE ;FALSO;PACO RABANNE;60000;para-ellos;;;;;;;;;;
1 ONE MILLION ELIXIR ;PACO RABANNE ;FALSO;PACO RABANNE;70000;para-ellos;;;;;;;;;;
1 ONE MILLION LUCKY ;PACO RABANNE ;FALSO;PACO RABANNE;70000;para-ellos;;;;;;;;;;
1 ONE MILLION PRIVE ;PACO RABANNE ;FALSO;PACO RABANNE;60000;para-ellos;;;;;;;;;;
1 ONE MILLION ROYAL ;PACO RABANNE ;FALSO;PACO RABANNE;70000;para-ellos;;;;;;;;;;
1 ONE MILLION PARFUM ;PACO RABANNE ;FALSO;PACO RABANNE;70000;para-ellos;;;;;;;;;;
1 ONE MIILION GOLD ;PACO RABANNE ;FALSO;PACO RABANNE;70000;para-ellos;;;;;;;;;;
PURE XS ;PACO RABANNE ;FALSO;PACO RABANNE;60000;para-ellos;;;;;;;;;;
BLACK XS;PACO RABANNE ;FALSO;PACO RABANNE;60000;para-ellos;;;;;;;;;;
BLACK XS AFRODISIAQUE ;PACO RABANNE ;FALSO;PACO RABANNE;60000;para-ellos;;;;;;;;;;
INVICTUS AQUA ;PACO RABANNE ;FALSO;PACO RABANNE;60000;para-ellos;;;;;;;;;;
INVICTUS LEGEND ;PACO RABANNE ;FALSO;PACO RABANNE;60000;para-ellos;;;;;;;;;;
INVICTUS INTENSE ;PACO RABANNE ;FALSO;PACO RABANNE;60000;para-ellos;;;;;;;;;;
